Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,014D1403,true,Rx,0,8,07,F1,82,E7,87,8F,82,84,
0,018D1403,true,Rx,0,8,07,FC,B7,B6,B7,B6,B0,B4,
0,01CD1403,true,Rx,0,8,07,B7,B2,B5,B6,B7,B2,B7,
0,020D1403,true,Rx,0,8,07,B7,B7,B7,B7,B7,B4,B7,
0,024D1403,true,Rx,0,8,07,B7,53,BB,48,48,48,48,
0,028D1403,true,Rx,0,8,07,B8,B2,B7,B7,B7,B7,EF,
0,02CD1403,true,Rx,0,8,07,B5,B7,B7,B7,B7,B7,B7,
0,030D1403,true,Rx,0,8,07,B7,B7,B7,B7,B7,B7,B7,
0,034D1403,true,Rx,0,4,03,B7,E4,70,00,00,00,00,
0,004D1406,true,Rx,0,8,07,AA,02,45,00,AF,2D,B8,
0,008D1406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00CD1406,true,Rx,0,8,07,03,2F,B9,FD,B8,F0,EF,
0,010D1406,true,Rx,0,8,07,8D,89,E2,F3,F0,8C,EB,
0,014D1406,true,Rx,0,8,07,FE,8D,E8,88,80,8D,8B,
0,018D1406,true,Rx,0,8,07,F3,B8,B9,B8,B9,BF,BB,
0,01CD1406,true,Rx,0,8,07,B8,BD,BA,B9,B8,BD,B8,
0,020D1406,true,Rx,0,8,07,B8,B8,B8,B8,B8,BB,B8,
0,024D1406,true,Rx,0,8,07,B8,5C,B4,47,47,47,47,
0,028D1406,true,Rx,0,8,07,B7,BD,B8,B8,B8,B8,E0,
0,02CD1406,true,Rx,0,8,07,BA,B8,B8,B8,B8,B8,B8,
0,030D1406,true,Rx,0,8,07,B8,B8,B8,B8,B8,B8,B8,
0,034D1406,true,Rx,0,4,03,B8,A1,28,00,00,00,00,
0,10014001,true,Rx,0,8,AA,03,45,00,C4,2D,26,E5,
0,10114001,true,Rx,0,8,03,00,01,4B,14,03,01,01,
0,10114001,true,Rx,0,8,03,2F,27,63,26,6E,71,13,
0,10114001,true,Rx,0,8,17,7C,6D,6E,12,75,60,13,
0,10114001,true,Rx,0,8,76,16,1E,13,15,6D,26,27,
0,10114001,true,Rx,0,8,26,27,21,25,26,23,24,27,
0,10114001,true,Rx,0,8,26,23,26,26,26,26,26,26,
0,10114001,true,Rx,0,8,25,26,26,C2,2A,D9,D9,D9,
0,10114001,true,Rx,0,8,D9,29,23,26,26,26,26,7E,
0,10114001,true,Rx,0,8,24,26,26,26,26,26,26,26,
0,10114001,true,Rx,0,8,26,26,26,26,26,26,26,7E,
0,10214001,true,Rx,0,1,16,00,00,00,00,00,00,00,
0,00431403,true,Rx,0,8,07,AA,02,00,00,B5,2D,B9,
0,00831403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,5,04,01,05,BD,AF,00,00,00,
0,00441406,true,Rx,0,8,07,AA,02,05,00,F4,2C,BA,
0,00841406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C41406,true,Rx,0,8,07,03,13,45,BA,BA,BA,BA,
0,01041406,true,Rx,0,3,02,B9,FE,00,00,00,00,00,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,BB,
0,00831403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,BB,15,BC,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,BC,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,BC,4E,C6,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00451406,true,Rx,0,8,07,AA,02,0C,00,49,2C,BD,
0,00851406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C51406,true,Rx,0,8,07,03,23,AD,9A,BD,BD,BD,
0,01051406,true,Rx,0,8,07,D9,A9,BC,BC,BD,BD,BD,
0,01451406,true,Rx,0,3,02,98,6E,00,00,00,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,BE,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,03,27,BF,83,4F,00,00,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,BF,
0,00831403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,BF,01,4F,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,C0,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,C0,DA,B6,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00461403,true,Rx,0,8,07,AA,02,17,00,89,2C,C1,
0,00861403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C61403,true,Rx,0,8,07,03,30,C1,C2,3E,C1,C1,
0,01061403,true,Rx,0,8,07,C1,C1,C1,C1,C1,C1,C1,
0,01461403,true,Rx,0,8,07,C1,C1,C1,C1,C1,C1,C1,
0,01861403,true,Rx,0,7,06,C1,C1,C1,C1,96,0D,00,
0,00461406,true,Rx,0,8,07,AA,02,17,00,89,2C,C2,
0,00861406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C61406,true,Rx,0,8,07,03,30,C2,C1,3D,C2,C2,
0,01061406,true,Rx,0,8,07,C2,C2,C2,C2,C2,C2,C2,
0,01461406,true,Rx,0,8,07,C2,C2,C2,C2,C2,C2,C2,
0,01861406,true,Rx,0,7,06,C2,C2,C2,C2,46,D1,00,
0,10014001,true,Rx,0,8,AA,03,17,00,E2,2C,27,E5,
0,10114001,true,Rx,0,8,03,00,01,4B,14,06,01,01,
0,10114001,true,Rx,0,8,03,30,27,24,D8,27,27,27,
0,10114001,true,Rx,0,8,27,27,27,27,27,27,27,27,
0,10114001,true,Rx,0,8,27,27,27,27,27,27,27,27,
0,10214001,true,Rx,0,3,27,EB,76,00,00,00,00,00,
